"a";"Art";"एक"
"motivate";"V";"प्रेरित करना"
"motivated";"Adj";"अभिप्रेरित"
"motivation";"N";"प्रेरण"
"motiveless";"Adj";"निरुद्देश्य"
"motivity";"N";"प्रेरकता"
"motley";"Adj";"बिरंगा"
"motorer";"N";"मोटर दौड प्रतियोगिता"
"motor";"N";"प्रेरक"
"motor";"N";"चालक"
"motor-content";"N";"प्रेरक प्रसंग"
"motor defect";"N";"गतिपरक दोष"
"motorbike";"N";"मोटरसाइकिल"
"motor boat";"N";"मोटर नाव"
"motor car";"N";"मोटरकार"
"motor cycle";"N";"मोटरसाइकिल"
"motorize";"V";"मोटर सज्जित करना"
"motorist";"N";"मोटर यात्री"
"mottle";"N";"चित्ती"
"motto";"N";"वाक्य"
"mould";"V";"गढना"
"moulding";"N";"गढत"
"mouldy";"Adj";"फफूंदीदार"
"moult";"V";"पर रोआ या सींग झाडना"
"mound";"N";"स्वर्ण गोलक"
"mount";"N";"पर्वत"
"mount";"V";"चढना"
"mount gaurd";"IDM";"रक्षक जैसा व्यवहार करना"
"mount the throne";"V";"राजा या रानी होना"
"mounting";"N";"आरोहण"
"mountain";"N";"पहाड"
"mountain";"N";"पर्वत"
"mountain";"N";"गिरि"
"mountain chain";"N";"पर्वत माला"
"mountain range";"N";"पर्वत माला"
"mountain sickness";"N";"पर्वत रोग"
"mountain side";"N";"पहाडई डआल"
"mountain slide";"N";"पर्वत स्खलन"
"mountain top";"N";"पर्वत चोटी"
"mountaineer";"N";"पर्वतारोही"
"mountaineering";"N";"पर्वतारोहण"
"mountainous";"Adj";"पहाडई"
"mountainous";"Adj";"पर्वतीय"
"mountebank";"N";"कपटी विक्रेता"
"mountie";"N";"केनडा की घुडसवार पुलिस"
"mourn";"V";"शोक करना"
"mourn";"V";"दुी होना"
"mourner";"N";"शोक मनाने वाला"
"mournful";"Adj";"दुपूर्ण"
"mourning";"N";"शोक"
"go into mourning";"V";"मातमी लिबास पहनना"
"in deep mourning";"Adj";"मातमी लिबास पहने हुए"
"mouse";"N";"चुहिया"
"mouse";"N";"चूहा"
"mouse-trap";"N";"चुहियादानी"
"mouse-trap";"N";"चूहेदानी"
"as poor as a church mouse";"IDM";"बहुत garIba"
"mouser";"N";"चूहे के पकडने वाली बिल्ली"
"mosy";"N";"चूहे जैसा"
"mousiness";"N";"धूसरता"
"mousiness";"N";"भद्दापन"
"moustache";"N";"मूछ"
"moustache";"N";"श्मश्रु"
"mousy";"Adj";"शर्मीला"
"mouth";"N";"मुह"
"mouth";"N";"मुहाना"
"mouth cavity";"N";"मुख विवर"
"mouth organ";"N";"मुह का बाजा"
"mouth wash";"N";"मुह धोना"
"mouth watering";"Adj";"मुह में पानी लानेवाला"
"keep one's mouth shut";"IDM";"चुप रहाना"
"mouth piece";"N";"मुखिका"
"mouthful";"N";"कौर"
"mouthful";"N";"ग्रास"
"mouthed";"Adj";"मुहवाला"
"move";"V";"चलना"
"move";"V";"हिलना"
"move-heaven-and-earth";"IDM";"कुछ कसर न उठा रहना"
"move-house";"N";""
"move about";"PhrV";"चलना"
"move about";"PhrV";"टहलना"
"move along";"PhrV";"चहल कदमी करना"
"move away";"PhrV";"स्थानांतर जाना"
"move for";"PhrV";"प्रस्ताव रखना"
"move in";"PhrV";"मेआना"
"move off";"PhrV";"यात्रा शुरू करना"
"move on";"PhrV";"विषय परिवर्तन करना"
"move on";"PhrV";"स्थान परिवर्तन करना"
"move out";"PhrV";"पुराना घर छोड देना"
"move over";"PhrV";"स्थन बदल्ना"
"move up";"PhrV";"स्थान बदलना"
"get-a-move-on";"IDM";"जल्दी करना"
"make-a-move";"IDM";"यात्रा शुरू करना"
"moveable";"Adj";"परिवर्तनीय"
"moveable feast";"N";"चल-पर्व"
"movement";"N";"गति"
"moving";"Adj";"हृदय स्पर्शी"
"movong force";"N";"प्रेरक शक्ति"
"moving picture";"N";"चल चित्र"
"moving school";"N";"चल विद्याल"
"moving staircase";"N";"चलती सीढई"
"moving van";"N";"चलती हुई मोटार गाडई"
"movie";"N";"चलचित्र"
"movie star";"N";"फिल्म सितरा"
"movies";"N";"चलचित्र"
"mow";"V";"घास काटना"
"mow down";"PhrV";"मार डालनाबडई संख्या में"
"mower";"N";"काटनेवाली मशीन"
"mowing";"N";"कटाई"
"MP";"Abbr:Member of Parliament";"संसद सदस्य"
"Mr";"Abbr:Mister";"श्री/श्रीमान"
"mph";"Abbr:mile per hour";"मील प्रति घंटा"
"Mrs";"Abbr:Missus";"श्रीमती"
"Ms";"Abbr";"कुमारी"
"Mt";"Abbr:mount";"पर्वत"
"much";"Adj";"बहुत"
"as-much-again";"IDM";"दुबारा"
"as-much-as-one-can-do";"IDM";"संबावना तक"
"make much of";"IDM";"सम्मान करना"
"not much of";"IDM";"जयदा नहीं"
"nothing much of";"IDM";"कुछ विशेष नहीं"
"too much for";"IDM";"ज्यादा"
"much more/less";"Adv";"फिर भी अधिक"
"musilagenous";"Adj";"लसदास"
"musins";"N";"श्लेष्म रस"
"muck";"N";"गंदगी"
"muck heap";"N";"गोबर का ढएर"
"muck of";"V";"गंदा करना"
"much raker";"N";"दोष खोजनेवाला"
"mucky";"Adj";"गंदा"
"mucus";"N";"श्लेष्मल"
"mucuous membrane";"N";"श्लेष्मल् झिल्ली"
"mud";"N";"कीचड"
"mud flat";"N";"कीचडदार भूमि"
"mud guard";"N";"पंक रोक"
"mud mortar";"N";"गारा"
"mud park";"N";"मृत्तिका स्नान"
"mud slinger";"Adj";"कीचढ उछालनेवाला"
"mud slingering";"N";"निदा"
"mud flinge";"V";"कीचड उछालना"
"throw mud at";"IDM";"पर कीचड उछालना"
"mud turtle";"N";"कछुआ"
"mud wasp";"N";"बिलनी"
"muddy";"Adj";"कीचड भरा"
"muddiness";"N";"अस्पष्टता"
"muddle";"N";"गडबड"
"mud headed";"Adj";"भ्रष्ट बुद्धिवाला"
"mud headedness";"N";"मूढता"
"mud along";"V";"घबराहट से शुरू करना"
"mud through";"V";"किसी तरह सफल होना"
"mudar";"N";"मदार"
"mudar";"N";"आक"
"muezzin";"Adj";"आज्ञा देनेवला"
"muff";"N";"मफ"
"muff";"N";"दस्तना"
"muffin";"N";"एक तरह का केक"
"muffle";"V";"आवाज दबाना"
"muffler";"N";"गुलबंद"
"mufthi";"N";"सधारण कपडए"
"mug";"N";"प्याला"
"mugful";"Adj";"प्याला भर"
"mug's game";"N";"बेकार कार्य"
"mug up";"V";"अध्ययन करना"
"muger";"N";"लुठेरा"
"muging";"N";"लूट"
"muggy";"Adj";"उमसदास"
"mugginess";"N";"उमसपन"
"mulatto";"Adj";"मुल्ट्टी"
"mulberry";"N";"तून"
"mulberry";"N";"शहतून"
"mulch";"V";"घासपात या पलवार से ढकना"
"mulet";"V";"अर्थदण्ड देना"
"mule";"N";"खच्चर"
"mule";"N";"बेसर"
"mulish";"Adj";"अडइयल"
"mulish";"Adj";"हठीला"
"mulishness";"N";"हठीलापन"
"mull";"N";"मल"
"mull over";"V";"पर विचार करना"
"mullet";"N";"मलेट"
"muller";"N";"सिलौटी"
"muller";"N";"मूसली"
"mullion";"N";"बिचला छड"
"mullioned";"Adj";"बिचले छड का"
"multi";"Pref";"बहु"
"multi coloured";"Adj";"रंग बिरंगा"
"multifarious";"N";"वैविद्यता"
"multi focal";"Adj";"बहुकेन्द्रीय"
"multi form";"N";"बहुरूप"
"multi formity";"N";"बहुरूपता"
"multi lateral";"Adj";"बहु पक्षीय"
"multi member";"N";"बहु सदस्य"
"multi national";"N";"बहु पदी"
"multi plex";"Adj";"बुविध"
"multi presence";"N";"बहु देशीयता"
"multi purpose";"Adj";"बहु प्रयोजक"
"multi purpose policy";"N";"बहु उद्देशीय नीति"
"multi racial";"Adj";"बहु जातीय"
"multi storied";"Adj";"बहु तल"
"multi syllabic";"Adj";"बह्वक्षर"
"multi valence";"N";"बहु संयोजकता"
"multi valent";"Adj";"बहु संयोजक"
"multi variate";"Adj";"बहुचर"
"multiple";"Adj";"बहुत"
"common multiple";"N";"समापवर्त्य"
"multiply";"V";"गुणा करना"
"multiplicable";"Adj";"गुण्य"
"multiplicative";"Adj";"गुणात्मक"
"multiplication";"N";"गुणक"
"multiplicity";"N";"अधिकता"
"multiplier";"N";"गुणक"
"multiplier";"N";"प्रवर्धक"
"multitude";"N";"बहु संख्या"
"mum";"Adj";"शांत"
"mummery";"N";"मूकाभिनय"
"mumming";"N";"मूकाभीनय"
"mumble";"V";"बुदबुदाना"
"mumble";"V";"गुणगुणाना"
"mumbo-jumbo";"N";"पश्चिमी आफ्रिका का एक देवत"
"mummy";"N";"पुराना परिरक्षित शव"
"mummify";"V";"शव का परिरक्षण करना"
"mummification";"N";"शव परिरक्षण"
"mumps";"N";"कनपडआ"
"munch";"V";"चबाना"
"mundane";"Adj";"सांसरिक"
"mundane";"Adj";"ऎहिक"
"mundanely";"Adv";"साधारण"
"municipal";"Adj";"नगरीय"
"munucipal corporation";"N";"नगर् निगम"
"municipality";"N";"नगर पालिका"
"municipalize";"V";"नगरपालिका के अधीन करना"
"munificent";"Adj";"उदार"
"munificense";"N";"उदारता"
"munificensely";"Adv";"दयाशीलता से"
"muniment";"N";"प्रलेख"
"muniments";"N";"सामाग्री"
"munition";"N";"युद्ध सामग्री"
"muncif";"N";"मुन्सिफ"
"mural";"Adj";"दीवार"
"muralant";"Adj";"भित्तिकला"
"mural painting";"N";"भित्तिचित्र"
"murder";"N";"हत्या"
"blue murder";"N";"उथल पुथल"
"murderer";"N";"हत्यारा"
"murderess";"N";"हत्यारी"
"Murderous";"Adj";"हिंस्र"
"murderously";"Adv";"निर्दयता"
"murk";"N";"अधेरा"
"murky";"Adj";"अधेरा"
"murmer";"N";"मर्मराहट"
"muscle";"N";"पेशी"
"muscle";"N";"ताकत"
"muscle-bound";"Adj";"सुदृढ पेशी वाला"
"muscle-man";"N";"सुदृढ पेशी वाला व्यक्ति"
"muscular";"Adj";"पेशीय"
"museum";"N";"संग्रहालय"
"museum piece";"N";"रुचिप्रद वस्तु"
"mush";"N";"गूदा"
"mushy";"Adj";"गूदेदार"
"mushroom";"N";"कुकरमुत्ता"
"music";"N";"संगीत"
"classical music";"N";"शास्त्रीय संगित"
"Instrumental music";"N";"वाद्य संगीत"
"vocal music";"N";"कण्ठ-संगीत"
"music hall";"N";"संगीतशाला"
"music stand";"N";"स्वरलिपि स्टैण्ड"
"musical";"Adj";"संगीत"
"musical box";"N";"संगीत पेटी"
"musical chairs";"N";"एक खेल"
"musical variety";"N";"विविध संगीत"
"musically";"Adv";"संगीत सुखान्तक"
"musician";"N";"संगीतकार"
"musicianship";"N";"संगीतकारी"
"musk";"N";"कस्तूरी"
"musk deer";"N";"कस्तूरी मृग"
"musk rat";"N";"छूछूदर"
"musky";"Adj";"कस्तूरी गन्ध युक्त"
"musket";"N";"बन्दूक"
"musketeer";"N";"बन्दूकधारी सैनिक"
"musketry";"N";"बन्दक चालन कला"
"mussel";"N";"सीपी"
"mussel";"N";"शम्बुक"
"muslin";"N";"मलमल"
"muss";"N";"अव्यवस्था"
"must";"V";"चाहिये"
"mustard";"N";"सरसों"
"muster";"N";"हाजइरी"
"muster";"VI";"एकत्रितहोना"
"muster";"VT";"इकठ्ठाकरना"
"musty";"Adj";"फफूंदाहुआ"
"mutation";"N";"परिवर्तन"
"mute";"Adj";"मौन"
"mute";"N";"मूक"
"mute";"N";"गूंगा"
"mutilate";"VT";"काटना"
"mutineer";"N";"विद्रोही"
"mutineer";"VI";"बलवाकरना"
"mutinous";"Adj";"बागी"
"mutiny";"N";"गदर"
"mutiny";"VI";"विद्रोहकरना"
"mutter";"N";"बडबडआहट"
"mutter";"VTI";"बडबडआना"
"mutton";"Adj";"भेडकामास"
"mutual";"Adj";"पारस्परिक"
"muzzle";"N";"थूथन"
"muzzle";"VT";"मुहबांधना"
"muzzle";"VT";"जाबलगाना"
"my";"Pron";"मेरा"
"myopia";"N";"कमदेखनेकीबीमारी"
"myopia";"N";"अदीर्घदृष्टि"
"myriad";"Adj";"बहुतसा"
"myriad";"N";"अनगिनतसंख्या"
"myriad";"N";"दससहस्त्र"
"myrtle";"N";"हिना"
"myrtle";"N";"मेंहदी"
"mysterious";"Adj";"रहस्यपूर्ण"
"mystery";"N";"रहस्य"
"mystic";"Adj";"गूढ"
"mystic";"N";"रहस्यवादी"
"mysticism";"N";"रहस्यवाद"
"mystify";"VT";"पेचीदाकरना"
"myth";"N";"कल्पितकथा"
"mythology";"N";"पौराणिककथाए"
"nab";"VT";"एकाएकपकडलेना"
"naff";"Adj";"साधारण"
"nadir";"N";"बिल्कुलनिम्नस्तर"
"nag";"N";"टट्टू"
"nag";"V";"तंगकरना"
"nail";"N";"नाखून"
"nail";"N";"कील"
"nail";"VT";"कीलजडना"
"nail-biting";"Adj";"बहुतरोमांचकस्थिति"
"nail-brush";"N";"नाखूनसाफकरनेकाब्रश"
"nail-file";"N";"नाखूनोंकोसहीआकारमेंरखनेकीवस्तु"
"naive";"Adj";"अनुभवहीन"
"naive";"Adj";"सादा"
"naive";"Adj";"निष्कपट"
"naivety";"N";"अनुभवहीनता"
"naked";"Adj";"नग्न"
"naked";"Adj";"नंगा"
"naked";"Adj";"स्पष्ट"
"nakedly";"Adv";"खुलेरूपसे"
"nakedness";"N";"नग्नपन"
"namby-pamby";"Adj";"भावुक"
"name";"N";"नाम"
"name";"N";"कीर्ति"
"name";"VT";"नामरखना"
"name";"VT";"नामबताना"
"name";"VT";"पहचानना"
"name";"VT";"नियुक्तकरना"
"name-dropping";"N";"बडएएवंप्रसिद्धलोगोंकानामलेनाविशेषप्रभावकेलिए"
"nameless";"Adj";"गुमनाम"
"namely";"Adv";"जैसे"
"namesake";"Adj";"नामराशी"
"nanny";"N";"आया"
"nanny-goat";"N";"बकरी"
"nap";"N";"झपकी"
"nap";"N";"मखमल के महीन धागे"
"nap";"VI";"झपकीलेना"
"napalm";"N";"पेट्रोलसेबनाहुआपदार्थजिससेबमबनातेहै"
"nape";"N";"गर्दनकेपीछेकाभाग"
"naphtha";"N";"शीघ्रजलनेवालाखनिजतेल"
"napkin";"N";"रुमाल"
"nappy";"N";"लंगोटछोटेबच्चेका"
"narcissism";"N";"आत्ममोह"
"narcissistic";"Adj";"आत्ममोही"
"narcissus";"N";"नरगिस का पौधा"
"narcotic";"Adj";"नींदलानेवाली"
"narcotic";"N";"नींदलानेवालीदवा"
"nard";"N";"सुगंधित गुलमेंहदी"
"nark";"N";"पुलिसकोगुप्तबातेंबतानेवाला"
"narked";"Adj";"गुस्सा"
"narrate";"V";"बयानकरना"
"narration";"N";"कथन"
"narrative";"Adj";"वर्णात्मक"
"narrative";"N";"वर्णात्मककहानी"
"narrator";"N";"बयानकरनेवाला"
"narrow";"Adj";"संकीर्ण"
"narrow";"VT";"परिमितयातंगकरना"
"narrowly";"Adv";"सकराईसे"
"narrowness";"N";"संकुचित"
"narrow-minded";"Adj";"संकीर्णमनवाला"
"narrow-mindedness";"N";"संकीर्णमन"
"narwhal";"N";"आर्कटिकसागरमेंपाईजानेवालीव्हेलमछली"
"NASA";"N";"अमरीकाकाअंतरिक्षकार्यालय"
"nasal";"Adj";"नासिकासंबंधी"
"nasal";"N";"आवाजजोनाकसेनिकले"
"nascent";"Adj";"शुरूआतीस्तरपर"
"nasturtium";"N";"जलकुम्भी"
"nasty";"Adj";"बुरा"
"nasty";"Adj";"हृदयहीन"
"natal";"Adj";"जन्मसंबंधी"
"nation";"N";"राष्ट्र"
"national";"Adj";"राष्ट्रीय"
"national";"N";"नागरिक"
"nationalism";"N";"राष्ट्रीयवाद"
"nationalist";"N";"राष्ट्रवादी"
"nationality";"N";"राष्ट्रीयता"
"nationalize";"VT";"राष्ट्रीयकरणकरना"
"nationalization";"N";"राष्ट्रीयकरण"
"nationwide";"Adj";"देशव्यापी"
"native";"Adj";"देशी"
"native";"N";"मूलनिवासी"
"Native American";"N";"अमरीकीमूलप्रजातिसदस्य"
"nativity";"N";"जन्म"
"nativity";"N";"ईसा मसीह का जन्म"
"NATO";"N";"उत्तरी अटलांटिक संधि संगठन"
"natural";"Adj";"प्राकृतिक"
"natural";"Adj";"स्वाभाविक"
"natural";"N";"प्राकृतिक"
"naturalism";"N";"स्वभाविकता"
"naturalist";"N";"पदार्थविज्ञानी"
"naturalize";"VT";"प्राकृतिकयासहजबनाना"
"naturally";"Adv";"स्वभावसे"
"nature";"N";"प्रकृति"
"nature";"N";"स्वभाव"
"naught";"N";"कुछनहीं"
"naughty";"Adj";"दुष्ट"
"nausea";"N";"मतली"
"nauseate";"VTI";"जीघिनाना"
"nauseous";"Adj";"घृणाजनक"
"nautical";"Adj";"जहाजई"
"naval";"Adj";"सामुद्रिक"
"nave";"N";"पहियेकीनाव"
"nave";"N";"गिरजाघर का मध्य भाग"
"navel";"N";"नाभि"
"navigable";"Adj";"जहाजयानावखेनेलायक"
"navigate";"VTI";"सहीरास्तापकडनाउपकरणोंकीसहायतासे"
"navigation";"N";"रास्तादिखानाउपकरणोंसे"
"navigator";"N";"दिशादिखानेवाला"
"navvy";"N";"भूमि खोदने वाला मजदूर"
"navy";"N";"समुद्री सेना"
"navy blue";"Adj";"गाढा नीला रंग"
"nay";"Adv";"नहीं"
"nay";"N";"अस्वीकृति"
"neap";"Adj";"सब से नीचे स्तर का"
"near";"Adj";"निकट"
"near";"Adj";"मिलताजुलता"
"near";"Adv";"केपास"
"near";"Adv";"लगभग"
"near";"Prep";"निकट"
"near";"VI";"निकटपहुचना"
"nearby";"Adj";"पास वाला"
"nearby";"Adv";"पास में"
"nearly";"Adv";"करीबकरीब"
"neat";"Adj";"स्वच्छ"
"neat";"Adj";"साफ"
"neat";"Adj";"सुव्यवस्थित"
"neat";"Adj";"अच्छा"
"neatly";"Adv";"स्वच्छतापूर्वक"
"neatly";"Adv";"सफाईसे"
"neatness";"N";"स्वच्छता"
"neatness";"N";"सफाई"
"nebula";"N";"असंख्य तारापुंज"
"nebular";"Adj";"तारा मंडल का"
"nebulous";"Adj";"धुधला"
"necessarily";"Adv";"अनिवार्यरूपसे"
"necessary";"Adj";"आवश्यक"
"necessary";"Adj";"अनिवार्य"
"necessitate";"VT";"मजबूरकरना"
"necessity";"N";"आवश्यकता"
"necessity";"N";"अनिवार्यता"
"neck";"N";"गरदन"
"neck";"N";"गला"
"neck";"VT";"गले मिलना"
"necklace";"N";"माला"
"necktie";"N";"गुलुबन्द"
"necromancy";"N";"प्रेत विद्या"
"nectar";"N";"अमृत"
"necterine";"N";"अमृत जैसा मधुर"
"neddy";"N";"गधा"
"need";"N";"जरूरत"
"needs";"N";"जरूरतें"
"need";"VTI";"जरूरतहोना"
"needless";"Adj";"निष्प्रयोजन"
"needle";"N";"सुई"
"needle";"VI";"परेशानकरना"
"needlewoman";"N";"सिलाईकरनेवाली"
"needy";"Adj";"निर्धन"
"nefarious";"N";"अतिदुष्ट"
"negate";"VT";"नकारना"
"negation";"N";"नकार"
"negative";"Adj";"नकारात्मक"
"negative";"N";"नकार"
"negative";"N";"निगेटिवफोटोका"
"negatively";"Adv";"नकारात्मकरूपमें"
"negativity";"N";"नकारात्मकता"
"neglect";"N";"उपेक्षा"
"neglect";"V";"उपेक्षाकरना"
"neglected";"Adj";"उपेक्षित"
"neglectful";"Adj";"ध्यान न देने वाला"
"negligence";"N";"लापरवाही"
"negligent";"Adj";"बेपरवाह"
"negligently";"Adv";"बेपरवाहीसे"
"negligible";"Adj";"नगण्य"
"negotiable";"Adj";"मोलभावकरनेलायक"
"negotiate";"VTI";"मोलतोलकरना"
"negotiate";"VTI";"पारकरना"
"negotiation";"N";"मोलतोल"
"negotiator";"N";"मोलतोलकरनेवाला"
"negro";"N";"हब्शी"
"neigh";"N";"हिनहिनाहट"
"neigh";"VI";"हिनहिनाना"
"neighbour";"N";"पडओसी"
"neighbourhood";"N";"पडओस"
"neighbouring";"Adj";"पडओस का"
"neighbourly";"Adj";"मित्रवत्"
"neither";"Adv";"नही"
"neither";"Adv";"न वह न यह का"
"neither";"Det";"कोईभीनहीं"
"nemesis";"N";"दंड जिस से बचा न जा सके"
"neo";"Pref";"नवीन"
"neocracy";"N";"नवीन लोगो का राज्य"
"neon";"N";"एक प्रकार का गैस"
"neophyte";"N";"नौसिखिया"
"neoteric";"Adj";"आधुनिक"
"nephew";"N";"भतीजा"
"nepotism";"N";"कुलपक्षपात"
"neptune";"N";"वरुण"
"nerve";"N";"नस"
"nerve";"N";"साहस"
"nerve";"VT";"शक्तिप्रदानकरना"
"nerve-racking";"Adj";"मानसिक दबाव वाला"
"nervous";"Adj";"घबरायाहुआ"
"nervous";"Adj";"मानसिक"
"nervously";"Adv";"घबरातेहुए"
"nervousness";"N";"घबराहट"
"nervy";"Adj";"चिन्ता करने वाला"
"nest";"N";"घोंसला"
"nest";"VTI";"घोंसलाबनाना"
"nestle";"VI";"सटकरआरामसेलेटेरहना"
"nestling";"N";"पक्षी का नवजात बच्चा"
"net";"Adj";"वास्तविक"
"net";"N";"जाल"
"net";"VT";"जाली मे फासना"
"nether";"Adj";"नीचे का"
"netting";"N";"जालीबनाना"
"nettle";"N";"बिच्छूकापेड"
"nettle";"VT";"चिढआना"
"network";"N";"जालमार्गोंका"
"networking";"N";"नैटवर्किंगकम्प्यूटर्सकी"
"networking";"N";"जालबिछानामेलजोलका"
"neural";"Adj";"स्नायु संबन्धी"
"neuralgia";"N";"स्नायुशूल"
"neurology";"N";"स्नायुविज्ञान"
"neurologist";"N";"स्नायुविज्ञानी"
"neurotic";"Adj";"मनोविक्षेपसंबन्धी"
"neurotic";"N";"मनोविक्षिप्त"
"neuter";"Adj";"नपुंसक"
"neuter";"V";"नपुंसक बनाना"
"neutral";"Adj";"तटस्थ"
"neutral";"N";"निष्पक्ष"
"neutrality";"N";"निष्पक्षता"
"neutralize";"VT";"निष्प्रभावकरना"
"never";"Adv";"कभीनहीं"
"nevermore";"Adv";"अब से नही"
"nevertheless";"Adv";"तथापि"
"new";"Adj";"नया"
"new";"Adj";"नवीन"
"new";"Adj";"नूतन"
"newly";"Adv";"नयानया"
"newness";"N";"नवीनता"
"new moon";"N";"दूजकाचाद"
"newborn";"Adj";"नवजात"
"newcomer";"N";"नवागंतुक"
"newfangled";"Adj";"नवीन ढंग का"
"newly";"Adv";"नया"
"news";"N";"खबर"
"newsagent";"N";"समाचारपत्र बेचने वाला"
"newscast";"N";"समाचारप्रसारण"
"newsletter";"N";"एक प्रकार का समाचार पत्र"
"newspaper";"N";"समाचारपत्र"
"newsreader";"N";"समाचार पडने वाला"
"next";"Adj";"अगला"
"next";"Adv";"उसकेबाद"
"next to";"Prep";"बगल में"
"next to";"Prep";"केबाद"
"next to";"Prep";"लगभग"
"nexus";"N";"अन्तर्सम्बन्ध"
"nib";"N";"कलम की नोक"
"nibble";"VTI";"कुतरना"
"nibble";"VTI";"टूंगना"
"nice";"Adj";"अच्छा"
"nicely";"Adv";"अच्छे से"
"nicety";"N";"व्योरा"
"niche";"N";"आला"
"nick";"N";"खरोंच"
"nick";"VT";"छेदकरना"
"nickel";"N";"गिलट"
"nickel";"N";"धातुविशेष"
"nickname";"N";"उपनाम"
"nickname";"VT";"उपनामदेना"
"nicotine";"Adj";"तम्बाकूका"
"nicotine";"N";"निकोटीन"
"niece";"N";"भतीजी"
"nigger";"N";"कालाआदमी"
"niggardly";"Adj";"कृपण"
"niggle";"V";"नुक्ताचीनीकरना"
"nigh";"Adv";"लगभग"
"nigh";"Prep";"पास"
"night";"N";"रात"
"night";"N";"संध्या"
"nightblindness";"N";"रतौंधी"
"nightcap";"N";"रातमेंपेयमदिरापान"
"nightclub";"N";"रात्रिक्लब्"
"nightfall";"N";"सन्ध्यासमय"
"nightdress";"N";"गाउन"
"nightgown";"N";"गाउन"
"nightjar";"N";"निशाचरितभूरीचिडिया"
"nightingale";"N";"बुलबुल"
"nightmare";"N";"दु:स्वप्न"
"nil";"N";"शून्य"
"nimble";"Adj";"फुर्तीला"
"nimbus";"N";"वर्षामेघ"
"nine";"N/Det";"नौ"
"nineteen";"N/Det";"उन्नीस"
"nineteenth";"Adj";"उन्नीसवा"
"ninetieth";"Adj";"नब्बेवा"
"ninetieth";"N";"नब्बेवाभाग"
"ninety";"Det";"नब्बे"
"ninth";"Adj";"नवा"
"ninth";"N";"नवाअंश"
"nip";"N";"चिकोटी"
"nip";"VT";"चिकोटीकाटना"
"nip";"VT";"नुकसानपहुचाना"
"nip";"VT";"जल्दीकरना"
"nipper";"N";"बच्चा"
"nipple";"N";"चूची"
"nipple";"N";"निप्पल"
"nippy";"N";"बहुतठंडा"
"nirvana";"N";"निर्वाण"
"nit";"N";"छोटेकीडओंकाअंडा"
"nit";"N";"जूकाअंडा"
"nitrate";"N";"नाइट्रेट"
"nitric";"Adj";"नाइट्रेटकातेजाब"
"nitrogen";"N";"नाइट्रोजन"
"nitroglycerine";"N";"नाइट्रोग्लिसरीन"
"nitrous oxide";"Adj";"नाइट्रेजनआक्साइड"
"No.";"Abbr:number";"अंक"
"no";"Adj";"कुछनहीं"
"no";"Adj";"नहींअनुमत"
"no";"Interj";"नहीं"
"nobility";"N";"कुलीनता"
"nobility";"N";"अभिजातवर्ग"
"no-ball";"N";"गलतबाल"
"no-go area";"N";"निषिद्धस्थल"
"no man's land";"N";"सीमामेंपरस्परसेनास्थल"
"no one";"Pron";"कोईभीनहीं"
"nob";"N";"धनाढ्यव्यक्ति"
"noble";"Adj";"कुलीन"
"noble";"Adj";"नीतिवान"
"noble";"N";"कुलीनमनुष्य"
"nobleman";"N";"कुलीनजन"
"nobody";"N";"कोईनहीं"
"nocturnal";"Adj";"रातका"
"nocturne";"N";"निशागीत"
"nod";"N";"हुक्म"
"nod";"VTI";"सिरहिलाना"
"nod";"VTI";"ऊघना"
"nod";"VTI";"झूमना"
"node";"N";"गाठ"
"nodule";"N";"गाठ"
"noise";"N";"ध्वनिप्रदूषण"
"noise";"N";"आवाज"
"noiseless";"Adj";"शांत"
"noisome";"Adj";"निर्गन्ध"
"noisy";"Adj";"कोलाहलकारी"
"nomad";"N";"बंजारे"
"nom de plume";"N";"उपनाम"
"nomenclature";"N";"पारिभाषिकशब्दावली"
"nominal";"Adj";"नाममात्रका"
"nominate";"VT";"नामांकितकरना"
"nomination";"N";"नामांकन"
"nominative";"N";"कर्ताकारक"
"nominative";"Adj";"कर्ता"
"nominee";"N";"नामांकित"
"nonagenarian";"Adj";"नब्बेसेसौवर्षीय"
"non-aggression";"N";"अनाक्रमण"
"non-alchoholic";"Adj";"मदिरारहित"
"non-aligned";"Adj";"निर्गुट"
"non-alignment";"N";"गुटनिरपेक्षता"
"non-appearance";"N";"अनुपस्थिति"
"non-attendance";"N";"अनुपस्थिति"
"nonce-word";"N";"अवसरशब्द"
"nonchalant";"Adj";"निश्चिन्त"
"nonchalance";"N";"निश्चिंतता"
"nonchalantly";"Adv";"निश्चिंततापूर्वक"
"non-combatant";"N";"गैर-लडाकूसैनिक"
"non-commissioned";"Adj";"अनधिकृत"
"noncommittal";"Adj";"अवचनबद्ध"
"non-compliance";"N";"अनुपालननकरना"
"non compos mentis";"Adj";"अविचारणीय"
"nonconductor";"N";"अचालक"
"nonconformist";"N";"रूढिविरोधी"
"non-contributory";"Adj";"अंशदाननकरना"
"non-cooperation";"N";"असहयोग"
"nondescript";"Adj";"साधारण"
"none";"N";"कोईनहीं"
"none the less";"Adv";"फिरभी"
"Nonentity";"N";"नगण्यव्यक्ति"
"non-event";"N";"साधारणघटना"
"non-fiction";"N";"कथेतरसाहित्य"
"non-flammable";"Adj";"अज्वलनशील"
"non-intervention";"N";"अहस्तक्षेप"
"non-observance";"N";"अननुपालन"
"nonpareil";"Adj";"अतुल्य"
"nonpareil";"Adj";"अतुल्यता"
